date,median,real.median
1984/01/01,53.4,84.3
1985/01/01,56.2,85.9
1986/01/01,59.3,88.9
1987/01/01,62.1,90.0
1988/01/01,64.8,90.7
1989/01/01,68.8,92.3
1990/01/01,71.3,91.2
1991/01/01,71.7,88.5
1992/01/01,73.0,87.8
1993/01/01,74.4,87.3
1994/01/01,76.8,88.4
1995/01/01,81.2,91.1
1996/01/01,84.5,92.4
1997/01/01,88.1,94.3
1998/01/01,92.6,97.8
1999/01/01,96.9,100.2
2000/01/01,100.0,100.0
2001/01/01,100.6,97.8
2002/01/01,101.0,96.7
2003/01/01,103.2,96.6
2004/01/01,105.6,96.3
2005/01/01,110.3,97.3
2006/01/01,114.8,98.0
2007/01/01,119.6,99.4
2008/01/01,119.8,95.8
2009/01/01,118.5,95.2
2010/01/01,117.4,92.7
2011/01/01,119.2,91.3
2012/01/01,121.5,91.1
2013/01/01,127.6,94.3
2014/01/01,127.8,93.0
